INCHI,SMILES,IC50,pIC50
HGURWXVQNCHCIP-CPSHHHPTSA-N,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1cnc2ccnn2c1,2.41,8.617982957
AFIJGEFBZOCXKC-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(Br)cc1,3590,5.444905551
QWAHCSOEUYGXDS-UHFFFAOYSA-N,Fc1cccc(COc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,13,7.886056648
JNBDLDLZBBRMKI-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,13160,4.880744111
QWQZKRUEXGQYOZ-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3cc(Cl)c(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,406,6.391473966
ZNIHSZIOJYSEMQ-UHFFFAOYSA-N,Cc1cc(Nc2ncnc3cnc(N4CCN(C)CC4)cc23)ccc1Oc1ccc(C(=O)NCC(C)(C)C)cc1,130,6.886056648
LBCJLJLRXUEGLC-UHFFFAOYSA-N,O=C(Cc1cccc(Br)c1)NS(=O)(=O)c1ccc(F)cc1,20450,4.689306688
CJHNARCORXPMOD-CYFREDJKSA-N,C[C@@H](c1ccccc1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,850,6.070581074
LURGJPYZRSEIGY-UHFFFAOYSA-N,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)C5CCCO5)CC4)c(C)c3)c2c1,550,6.259637311
MXWHQDKBDRIKNI-UHFFFAOYSA-N,NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1cccc2ccccc12,5460,5.262807357
NKAFAOZJYRUFSQ-UHFFFAOYSA-N,CN(C)CCCOCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,560,6.251811973
QTRVZMFRXOALDJ-UHFFFAOYSA-N,O=C(C#CCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,26,7.585026652
ZJGVRTUMQUFUOX-UHFFFAOYSA-N,COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(Cl)cc3)C2)cc1,7590,5.119758224
KARUNYWUPUPXDW-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Cl)cc2)cc1,15570,4.807711387
VJBGCGWDTBHXQK-DTQAZKPQSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/c1cccc2cccnc12,1134,5.945386945
MCIZZPUSTVXXPG-UHFFFAOYSA-N,CCN(CC)CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,597,6.224025669
GEAOSTRCYQQZDY-KPKJPENVSA-N,FC(F)(F)c1ccc(/C=C/c2nc(Cn3ccc4cc(-c5ccccc5Cl)ccc43)co2)cc1,10230,4.990124366
